DISTRICT,DEMOCRAT,REPUBLICAN,dem,rep
1,166236,27691,85.7209156,14.2790844
2,206532,29481,87.50873893,12.49126107
3,1294350,555988,69.95208443,30.04791557
4,155027,63101,71.07157265,28.92842735
5,80902,86837,48.2308825,51.7691175
6,43301,46989,47.95769188,52.04230812
7,56148,65241,46.25460297,53.74539703
8,32487,56688,36.43061396,63.56938604
